id,firstname,lastname,birthdate,country,position,foot,height
734,Ogenyi Eddy,Onazi,1992-12-25,Nigeria,Midfielder,right,173
735,Kasper,Schmeichel,1986-11-05,Denmark,Goalkeeper,right,185
736,Simon,Mignolet,1988-03-06,Belgium,Goalkeeper,right,193
737,Ahmed Eissa,El Mohamady Abdel Fattah,1987-09-09,Egypt,Midfielder,right,183
738,Sebastian,Larsson,1985-06-06,Sweden,Midfielder,right,178
739,St\u00e9phane,Sess\u00e8gnon,1984-06-01,Benin,Midfielder,right,172
740,Gabriel Armando,de Abreu,1990-11-26,Brazil,Defender,right,187
741,Victor,Moses,1990-12-12,Nigeria,Midfielder,right,177
742,Franco Mat\u00edas,Di Santo,1989-04-07,Argentina,Forward,right,193
743,Harry,Maguire,1993-03-05,England,Defender,right,188
744,Guilherme Antonio,Arana Lopes,1997-04-14,Brazil,Defender,left,176
745,Harry,Kane,1993-07-28,England,Forward,right,188
746,Diego Carlos,Santos Silva,1993-03-15,Brazil,Defender,right,185
747,Niccol\u00f2,Zanellato,1998-06-24,Italy,Midfielder,right,187
748,Bright,Gyamfi,1996-01-20,Ghana,Defender,right,180
749,Alexander,Ka\u010danikli\u0107,1991-08-13,Sweden,Midfielder,left,181
750,Kieran,Trippier,1990-09-19,England,Defender,right,178
751,Kamil,Grosicki,1988-06-08,Poland,Midfielder,right,180
752,Marko,Dmitrovi\u0107,1992-01-24,Serbia,Goalkeeper,left,194
753,Andrija,\u017divkovi\u0107,1996-07-11,Serbia,Midfielder,left,169
754,Nemanja,Radoja,1993-02-06,Serbia,Midfielder,right,186
755,Adel,Taarabt,1989-05-24,Morocco,Midfielder,right,182
756,Corentin,Jean,1995-07-15,France,Forward,right,170
757,Kelechi Promise,Iheanacho,1996-03-10,Nigeria,Forward,left,187
758,Jos\u00e9 Rodolfo,Pires Ribeiro,1992-02-06,Brazil,Defender,left,177
759,Robin,Koch,1996-07-17,Germany,Defender,right,190
760,Kenneth Josiah,Omeruo,1993-10-17,Nigeria,Defender,right,185
761,Niklas,Stark,1995-04-14,Germany,Defender,right,190
762,Marc,Stendera,1995-12-10,Germany,Midfielder,right,173
763,Timo,Werner,1996-03-06,Germany,Forward,right,180
764,John,Stones,1994-05-28,England,Defender,right,188
765,Douglas,dos Santos Justino de Melo,1994-03-22,Brazil,Defender,left,175
766,Yevhen,Seleznyov,1985-07-20,Ukraine,Forward,right,187
767,Diego Sebasti\u00e1n,Laxalt Su\u00e1rez,1993-02-07,Uruguay,Midfielder,left,178
768,Romain,Caumet,1999-04-13,France,Midfielder,"""""",174
769,Rolando,Aarons,1995-11-16,Jamaica,Midfielder,left,175
770,Kenan,Karaman,1994-03-05,Germany,Forward,left,189
771,Fr\u00e9d\u00e9ric,Guilbert,1994-12-24,France,Defender,right,178
772,P\u00e9ter,Gul\u00e1csi,1990-05-06,Hungary,Goalkeeper,right,190
773,Nikola,Kalini\u0107,1988-01-05,Croatia,Forward,right,187
774,Senna,Miangue,1997-02-05,Belgium,Defender,left,192
775,Matt\u00e9o,Ahlinvi,1999-07-02,France,Defender,left,183
776,Mauro Emanuel,Icardi Rivero,1993-02-19,Argentina,Forward,right,181
777,Davide,Biraschi,1994-07-02,Italy,Defender,right,182
778,S\u00e9bastien,Salles Lamonge,1996-01-28,France,Midfielder,right,170
779,Marcel,Tisserand,1993-01-10,France,Defender,right,190
780,Milot,Rashica,1996-06-28,Kosovo,Forward,right,177
781,Lucas,H\u00f6ler,1994-07-10,Germany,Forward,right,184
782,Berkay,\u00d6zcan,1998-02-15,Germany,Midfielder,right,180
783,Enzo,Loiodice,2000-11-27,France,Midfielder,left,176
784,Simone,Scuffet,1996-05-31,Italy,Goalkeeper,right,187
785,Elio,Capradossi,1996-03-11,Uganda,Defender,right,185
786,Jos\u00e9,Mauri,1996-05-16,Argentina,Midfielder,right,169
787,Vittorio,Parigini,1996-03-25,Italy,Forward,right,180
788,Federico,Bonazzoli,1997-05-21,Italy,Forward,left,182
789,Pontus,Jansson,1991-02-13,Sweden,Defender,right,196
790,Pa Momodou,Konate,1994-04-25,Sweden,Defender,left,178
791,Facundo Juli\u00e1n,P\u00edriz Gonz\u00e1lez,1990-03-27,Uruguay,Midfielder,right,187
792,Florian,M\u00fcller,1997-11-13,Germany,Goalkeeper,left,192
793,Ohis Felix,Uduokhai,1997-09-09,Germany,Defender,right,192
794,Syam,Ben Youssef,1989-03-31,France,Defender,right,186
795,Cedric,Teuchert,1997-01-14,Germany,Forward,right,183
796,Victor James,Osimhen,1998-12-29,Nigeria,Forward,right,185
797,Mohamed,Dr\u00e4ger,1996-06-25,Germany,Midfielder,right,178
798,Jean Eud\u00e8s,Aholou,1994-03-20,C\u00f4te d'Ivoire,Midfielder,left,186
799,Justin,Hoffmanns,1997-02-26,Germany,Defender,right,176
800,Ahmed,Benali,1992-02-07,England,Midfielder,right,173
801,Jordan,Pickford,1994-03-07,England,Goalkeeper,left,185
802,Gianluca,Gaudino,1996-11-11,Germany,Midfielder,right,175
803,Lukas,Kl\u00fcnter,1996-05-26,Germany,Defender,right,184
804,Maximilian,Mittelst\u00e4dt,1997-03-18,Germany,Defender,left,178
805,Mahmoud,Dahoud,1996-01-01,Syria,Midfielder,right,177
806,Elvis,Rexhbecaj,1997-11-01,Albania,Midfielder,left,182
807,Dominik,Reimann,1997-06-18,Germany,Goalkeeper,right,186
808,Mauro Daniel,Goicoechea Furia,1988-03-27,Uruguay,Goalkeeper,right,186
809,Rog\u00e9rio,Oliveira da Silva,1998-01-13,Brazil,Defender,left,178
810,Val\u00e8re,Pollet,1997-06-27,France,Midfielder,"""""",177
811,Marco,Richter,1997-11-24,Germany,Forward,right,176
812,Gabriel,Appelt Pires,1993-09-18,Brazil,Midfielder,left,187
813,Waldemar,Anton,1996-07-20,Uzbekistan,Defender,right,189
814,Timo,H\u00fcbers,1996-07-20,Germany,Defender,right,190
815,Noah-Joel,Sarenren-Bazee,1996-08-21,Germany,Midfielder,right,182
816,Maximilian,Eggestein,1996-12-08,Germany,Midfielder,right,181
817,Seung-Woo,Lee,1998-01-06,Korea Republic,Forward,right,173
818,\u00d6gmundur,Kristinsson,1989-06-19,Iceland,Goalkeeper,right,191
819,Carlos Joaqu\u00edn,Correa,1994-08-13,Argentina,Midfielder,right,188
820,Wergiton,do Ros\u00e1rio Calmon,1988-09-28,Brazil,Midfielder,right,180
821,Zakaria,Bakkali,1996-01-26,Belgium,Forward,right,168
822,Emmanuel Okyere,Boateng,1996-05-23,Ghana,Forward,right,175
823,F\u00e1bio Henrique,Tavares,1993-10-23,Brazil,Midfielder,right,188
824,Papa Alioune,N'Diaye,1990-10-27,Senegal,Midfielder,right,180
825,Gil,Basti\u00e3o Dias,1996-09-28,Portugal,Forward,left,183
826,Allan,Marques Loureiro,1991-01-08,Brazil,Midfielder,right,175
827,Jan,Bednarek,1996-04-12,Poland,Defender,right,189
828,Dawid,Kownacki,1997-03-14,Poland,Forward,right,187
829,Wilder Jos\u00e9,Cartagena Mendoza,1994-09-23,Peru,Midfielder,right,179
830,Andrea,Nalini,1990-06-20,Italy,Forward,right,180
831,Andrei,Girotto,1992-02-17,Brazil,Midfielder,right,186
832,Kwang-Song,Han,1998-09-11,Korea DPR,Forward,right,178
833,Alban,Lafont,1999-01-23,Burkina Faso,Goalkeeper,right,193
834,Ga\u00ebtan,Poussin,1999-01-13,France,Goalkeeper,right,184
835,Boubacar,Kamara,1999-11-23,France,Defender,right,184
836,Micka\u00ebl,Cuisance,1999-08-16,France,Midfielder,left,181
837,Myziane,Maolida,1999-02-14,France,Forward,right,180
838,Ervin,Taha,1999-03-14,France,Forward,right,180
839,Hicham,Mahou,1999-07-02,France,Midfielder,right,180
840,Jes\u00fas Joaqu\u00edn,Fern\u00e1ndez S\u00e1ez de la Torre,1993-11-19,Spain,Forward,left,176
841,Raheem Shaquille,Sterling,1994-12-08,Jamaica,Forward,right,170
842,Andreas,Hoelgebaum Pereira,1996-01-01,Belgium,Midfielder,right,178
843,William,Troost-Ekong,1993-09-01,Netherlands,Defender,right,191
844,Milos,Veljkovic,1995-09-26,Switzerland,Defender,right,184
845,Pape Sane,Mbodji,1997-09-20,Senegal,Midfielder,"""""",183
846,Moussa Sidi Yaya,Demb\u00e9l\u00e9,1987-07-16,Belgium,Midfielder,left,185
847,Bryan,Ruiz Gonz\u00e1lez,1985-08-18,Costa Rica,Midfielder,left,188
848,Marcello,Trotta,1992-09-29,Italy,Forward,left,188
849,V\u00edctor,Moya Mart\u00ednez,1997-06-10,Spain,Midfielder,right,182
850,Yuri,Zhirkov,1983-08-20,Russia,Midfielder,left,180
851,Iver,Fossum,1996-07-15,Norway,Midfielder,right,180
852,Bruno,da Silva Peres,1990-03-01,Brazil,Defender,right,178
853,Salih,\u00d6zcan,1998-01-11,Turkey,Midfielder,right,180
854,Mattia,Vitale,1997-10-01,Italy,Midfielder,left,177
855,Du\u0161ko,To\u0161i\u0107,1985-01-19,Serbia,Defender,left,185
856,Dzenis,Burnic,1998-05-22,Germany,Midfielder,left,181
857,Pylyp,Budkivskyi,1992-03-10,Ukraine,Forward,right,194
858,Luka,Milivojevi\u0107,1991-04-07,Serbia,Midfielder,right,186
859,Jessy,Deminguet,1998-01-07,France,Midfielder,left,178
860,Miguel \u00c2ngelo,da Silva Rocha,1994-11-10,Portugal,Midfielder,right,186
861,Bertrand Isidore,Traor\u00e9,1995-09-06,Burkina Faso,Forward,left,181
862,Vitor Hugo,Franchescoli de Souza,1991-05-20,Brazil,Defender,right,187
863,Lemouya,Goudiaby,1997-01-09,France,Midfielder,right,178
864,Marcel,Benger,1998-07-02,Germany,Midfielder,right,188
865,Siriki,Sanogo,2001-12-21,C\u00f4te d'Ivoire,Forward,null,0
866,Alberto,L\u00f3pez Jim\u00e9nez,1995-05-27,Spain,Defender,"""""",173
867,Gylfi \u00de\u00f3r,Sigur\u00f0sson,1989-09-08,Iceland,Midfielder,right,186
868,Valentino,Lazaro,1996-03-24,Austria,Midfielder,right,178
869,Rodrigo,Ely,1993-11-03,Brazil,Defender,right,192
870,Matteo,Politano,1993-08-03,Italy,Forward,left,171
871,Alessandro,Sch\u00f6pf,1994-02-07,Austria,Midfielder,right,178
872,Alejandro,Berenguer Remiro,1995-07-04,Spain,Forward,right,175
873,Rodrigue Casimir,Ninga,1993-05-17,Chad,Forward,right,186
874,Pape Cheik,Diop Gueye,1997-08-08,Senegal,Midfielder,right,180
875,Killian,Sanson,1997-06-07,France,Midfielder,right,173
876,Baptiste,Santamaria,1995-03-09,France,Midfielder,right,183
877,Seybou,Koita,1994-04-15,Niger,Forward,right,180
878,Patrik,Carlgren,1992-01-08,Sweden,Goalkeeper,right,188
879,Nick,Pope,1992-04-19,England,Goalkeeper,right,192
880,Bartolomeu Jacinto,Quissanga,1991-03-27,Angola,Defender,right,184
881,Saeid,Ezatolahi Afagh,1996-10-01,Iran,Midfielder,right,190
882,Yoann,Salmier,1992-11-21,France,Defender,right,188
883,Enes,\u00dcnal,1997-05-10,Turkey,Forward,right,185
884,Guido,Guerrieri,1996-02-25,Italy,Goalkeeper,right,184
885,Roberto,Gagliardini,1994-04-07,Italy,Midfielder,right,188
886,Carlos,Soler Barrag\u00e1n,1997-01-02,Spain,Midfielder,right,180
887,Francisco Javier,Guerrero Mart\u00edn,1996-03-11,Spain,Forward,right,185
888,Gerson,Santos da Silva,1997-05-20,Brazil,Midfielder,left,175
889,Adam,Masina,1994-01-02,Morocco,Defender,left,191
890,Alessandro,Bastoni,1999-04-13,Italy,Defender,left,190
891,Mirko,Antonucci,1999-03-11,Italy,Forward,right,181
892,K\u00e9vin Manuel,Rodrigues,1994-03-05,France,Defender,left,170
893,Farid,Boulaya,1993-02-25,France,Midfielder,right,180
894,Adrien,Thomasson,1993-12-10,France,Midfielder,right,177
895,Vasilije,Janji\u010di\u0107,1998-11-02,Switzerland,Midfielder,right,180
896,Anthony,Maisonnial,1998-03-23,France,Goalkeeper,right,188
897,Kouadio Yves,Dabila,1997-01-01,C\u00f4te d'Ivoire,Defender,right,183
898,Amine,Harit,1997-06-18,France,Midfielder,right,179
899,Morgan,Sanson,1994-08-18,France,Midfielder,right,180
900,Corentin,Tolisso,1994-08-03,France,Midfielder,right,181
901,Abdallah,N'Dour,1993-12-20,Senegal,Defender,left,186
902,Adrien,Rabiot,1995-04-03,France,Midfielder,left,188
903,Pione,Sisto Ifolo Emirmija,1995-02-04,South Sudan,Midfielder,right,171
904,Julian,Pollersbeck,1994-08-16,Germany,Goalkeeper,right,195
905,Gideon,Jung,1994-09-12,Germany,Defender,right,189
906,Weston,McKennie,1998-08-28,United States,Midfielder,right,185
907,Johann,Obiang,1993-07-05,France,Defender,left,170
908,Flavien,Tait,1993-02-02,France,Midfielder,right,175
909,Micha\u00ebl Jordan,Nkololo,1992-11-09,France,Midfielder,right,183
910,Gabriel Fernando,de Jesus,1997-04-03,Brazil,Forward,right,175
911,Fakhreddine,Ben Youssef,1991-06-23,Tunisia,Forward,right,192
912,Alejandro,Robles Garc\u00eda,1999-01-28,Spain,Defender,right,170
913,Domenico,Berardi,1994-08-01,Italy,Forward,left,183
914,Reece,Oxford,1998-12-16,England,Defender,right,191
915,Everton Luiz,Guimaraes Bilher,1988-05-24,Brazil,Midfielder,right,173
916,Alexandre,Mendy,1994-03-20,France,Forward,right,185
917,Jamie,Vardy,1987-01-11,England,Forward,right,178
918,Moussa,Sylla,1999-11-25,France,Forward,right,181
919,Enzo,Crivelli,1995-02-06,France,Forward,right,184
920,Robin,Hack,1998-08-27,Germany,Midfielder,right,176
921,Vincent,Thill,2000-02-04,Luxembourg,Midfielder,left,168
922,Benjamin,Pavard,1996-03-28,France,Defender,right,186
923,Jordan,Torunarigha,1997-08-07,Germany,Defender,left,189
924,Hotaru,Yamaguchi,1990-06-10,Japan,Midfielder,right,173
925,Alessandro,Confente,1998-06-07,Italy,Goalkeeper,right,194
926,Imad,Faraj,1999-02-11,France,Midfielder,right,172
927,L\u00e9o,Dubois,1994-09-14,France,Defender,right,178
928,Sa\u00eef-Eddine,Khaoui,1995-04-27,France,Midfielder,left,182
929,Samuel,Garc\u00eda S\u00e1nchez,1990-07-13,Spain,Midfielder,right,179
930,Brian Oladapo,Idowu,1992-05-18,Russia,Defender,right,178
931,Vincent,Sierro,1995-10-08,Switzerland,Midfielder,right,185
932,Jorge,Mer\u00e9 P\u00e9rez,1997-04-17,Spain,Defender,right,182
933,Riccardo,Orsolini,1997-01-24,Italy,Forward,left,183
934,Gerard,Valent\u00edn Sancho,1993-07-28,Spain,Defender,right,177
935,Eden,Massouema,1997-06-29,France,Midfielder,right,184
936,Eric,Dier,1994-01-15,England,Midfielder,right,188
937,Ademola,Lookman,1998-07-18,England,Midfielder,right,174
938,Sardar,Azmoun,1995-01-01,Iran,Forward,right,186
939,Bamidele,Alli,1996-04-11,England,Midfielder,right,188
940,Amadou,Diawara,1997-07-17,Guinea,Midfielder,right,184
941,Karim,Ansarifard,1990-04-03,Iran,Forward,right,186
942,Quentin,Boisgard,1997-03-17,France,Midfielder,right,174
943,Nabil,Bentaleb,1994-11-24,France,Midfielder,left,187
944,Ehsan,Hajsafi,1990-02-25,Iran,Defender,left,176
945,K\u00e9vin,Malcuit,1991-07-31,France,Defender,right,178
946,Christopher,Jullien,1993-03-22,France,Defender,right,196
947,Alireza,Jahanbakhsh,1993-08-11,Iran,Forward,right,180
948,Ludovic,Blas,1997-12-31,France,Midfielder,left,180
949,Marco Jhonfai,Fabi\u00e1n De La Mora,1989-07-21,Mexico,Midfielder,right,170
950,Caleb,Stanko,1993-07-26,United States,Midfielder,right,180
951,Miguel Arturo,Lay\u00fan Prado,1988-06-25,Mexico,Defender,right,179
952,Allan,Saint-Maximin,1997-03-12,France,Forward,right,173
953,Marc,Navarro Ceciliano,1995-07-02,Spain,Defender,right,188
954,Marc,Roca Junqu\u00e9,1996-11-26,Spain,Midfielder,left,184
955,Oswaldo Augusto,Vizcarrondo Ara\u00fajo,1984-05-31,Venezuela,Defender,right,191
956,Ra\u00fal Alonso,Jim\u00e9nez Rodr\u00edguez,1991-05-05,Mexico,Forward,right,187
957,H\u00e9ctor Miguel,Herrera L\u00f3pez,1990-04-19,Mexico,Midfielder,right,180
958,Luca,Crosta,1998-02-23,Italy,Goalkeeper,right,190
959,Bruno Miguel,Borges Fernandes,1994-09-08,Portugal,Midfielder,right,179
960,Jes\u00fas Manuel,Corona Ru\u00edz,1993-01-06,Mexico,Forward,right,173
961,Javier Ignacio,Aquino Carmona,1990-02-11,Mexico,Midfielder,right,168
962,Nordi,Mukiele Mulere,1997-11-01,France,Defender,right,186
963,Aleksandr,Erokhin,1989-10-13,Russia,Midfielder,right,195
964,Nicolas,Haas,1996-01-23,Switzerland,Midfielder,right,178
965,O\u011fuzhan,\u00d6zyakup,1992-09-23,Netherlands,Midfielder,right,180
966,Bel Durel,Avounou,1997-09-25,Congo,Midfielder,left,179
967,Ibrahim,Sangar\u00e9,1997-12-02,C\u00f4te d'Ivoire,Midfielder,right,191
968,Quentin,Cornette,1994-01-17,France,Forward,right,172
969,Mohamet Airam,Ramos Wade,2000-04-13,Spain,Goalkeeper,right,189
970,Branislav,Ivanovi\u0107,1984-02-22,Serbia,Defender,right,185
971,Amr Medhat,Warda,1993-09-17,Egypt,Midfielder,right,176
972,Sokratis,Papastathopoulos,1988-06-09,Greece,Defender,right,186
973,Ronaldo,Aparecido Rodrigues,1982-09-10,Brazil,Defender,right,198
974,Philipp,Bargfrede,1989-03-03,Germany,Midfielder,right,174
975,Aleksandar,Ignjovski,1991-01-27,Serbia,Defender,right,175
976,Zlatko,Junuzovi\u0107,1987-09-26,Serbia,Midfielder,right,172
977,Niclas,F\u00fcllkrug,1993-02-09,Germany,Forward,right,189
978,Aaron,Hunt,1986-09-04,Germany,Midfielder,left,183
979,Claudio Miguel,Pizarro Bossio,1978-10-03,Peru,Forward,right,184
980,Manuel,Neuer,1986-03-27,Germany,Goalkeeper,right,193
981,Holger,Badstuber,1989-03-13,Germany,Defender,left,189
982,J\u00e9r\u00f4me,Boateng,1988-09-03,Germany,Defender,right,192
983,Diego,Contento,1990-05-01,Germany,Defender,left,177
984,M\u00e1rcio Rafael,Ferreira de Souza,1985-09-07,Brazil,Defender,right,172
985,Luiz Gustavo,Dias,1987-07-23,Brazil,Midfielder,left,187
986,Toni,Kroos,1990-01-04,Germany,Midfielder,right,183
987,David,Olatukunbo Alaba,1992-06-24,Austria,Defender,left,180
988,Franck Bilal,Rib\u00e9ry,1983-04-07,France,Midfielder,right,170
989,Arjen,Robben,1984-01-23,Netherlands,Midfielder,left,180
990,Takashi,Usami,1992-05-06,Japan,Forward,right,180
991,Mario,G\u00f3mez Garc\u00eda,1985-07-10,Germany,Forward,right,189
992,Thomas,M\u00fcller,1989-09-13,Germany,Forward,right,186
993,Nils,Petersen,1988-12-06,Germany,Forward,right,188
994,Sven,Ulreich,1988-08-03,Germany,Goalkeeper,right,192
995,Cristian,Molinaro,1983-07-30,Italy,Defender,left,182
996,Antonio,R\u00fcdiger,1993-03-03,Germany,Defender,right,191
997,Gotoku,Sakai,1991-03-14,United States,Defender,right,176
998,Christian,Gentner,1985-08-14,Germany,Midfielder,right,189
999,Zdravko,Kuzmanovi\u0107,1987-09-22,Switzerland,Midfielder,right,185
1000,Ibrahima,Traor\u00e9,1988-04-21,France,Midfielder,left,171
1001,Martin,Harnik,1987-06-10,Germany,Forward,right,185
1002,Vedad,Ibi\u0161evi\u0107,1984-08-06,Bosnia-Herzegovina,Forward,right,188
1003,Shinji,Okazaki,1986-04-16,Japan,Forward,right,174
1004,Julian,Schieber,1989-02-13,Germany,Forward,left,186
1005,Ren\u00e9,Adler,1985-01-15,Germany,Goalkeeper,right,191
1006,Fabian,Giefer,1990-05-17,Germany,Goalkeeper,right,196
1007,Bernd,Leno,1992-03-04,Germany,Goalkeeper,right,190
1008,Gonzalo,Castro Randon,1987-06-11,Germany,Midfielder,right,172
1009,Vedran,\u0106orluka,1986-02-05,Bosnia-Herzegovina,Defender,right,192
1010,Danny,Vieira da Costa,1993-07-13,Germany,Defender,right,187
1011,Bastian,Oczipka,1989-01-12,Germany,Defender,left,185
1012,Valent\u00edn,Vada,1996-03-06,Argentina,Midfielder,right,175
1013,\u00d6mer,Toprak,1989-07-21,Germany,Defender,right,186
1014,Lars,Bender,1989-04-27,Germany,Midfielder,right,185
1015,Renato,Soares de Oliveira Augusto,1988-02-08,Brazil,Midfielder,right,186
1016,Karim,Bellarabi,1990-04-08,Germany,Midfielder,right,183
1017,Eren,Derdiyok,1988-06-12,Switzerland,Forward,right,191
1018,Stefan,Kie\u00dfling,1984-01-25,Germany,Forward,right,191
1019,Andr\u00e9,Sch\u00fcrrle,1990-11-06,Germany,Forward,right,184
1020,Roman,Weidenfeller,1980-08-06,Germany,Goalkeeper,left,190
1021,Mats,Hummels,1988-12-16,Germany,Defender,right,191
1022,\u0141ukasz,Piszczek,1985-06-03,Poland,Defender,right,184
1023,Jonathan,Bamba,1996-03-26,France,Forward,right,175
1024,Neven,Suboti\u0107,1988-12-10,Serbia,Defender,right,191
1025,Marvin,Bakalorz,1989-09-13,Germany,Midfielder,right,180
1026,Sven,Bender,1989-04-27,Germany,Defender,right,186
1027,Jakub,B\u0142aszczykowski,1985-12-14,Poland,Midfielder,right,176
1028,Mario,G\u00f6tze,1992-06-03,Germany,Midfielder,right,176
1029,\u0130lkay,G\u00fcndo\u011fan,1990-10-24,Germany,Midfielder,right,180
1030,Ivan,Peri\u0161i\u0107,1989-02-02,Croatia,Midfielder,right,186
1031,Shinji,Kagawa,1989-03-17,Japan,Midfielder,right,175
1032,Robert,Lewandowski,1988-08-21,Poland,Forward,right,185
1033,Michael,Esser,1987-11-22,Germany,Goalkeeper,right,198
1034,Andreas,Luthe,1987-03-10,Germany,Goalkeeper,right,195
1035,Adama,Diakhaby,1996-07-05,France,Forward,left,188
1036,Ferland,Mendy,1995-06-08,France,Defender,left,178
1037,Takashi,Inui,1988-06-02,Japan,Midfielder,right,169
1038,Christoph,Kramer,1991-02-19,Germany,Midfielder,right,191
1039,Isaac,Mbenza,1996-03-08,France,Forward,right,187
1040,Kevin,Vogt,1991-09-23,Germany,Defender,right,194
1041,Daniel,Ginczek,1991-04-13,Germany,Forward,right,190
1042,Ralf,F\u00e4hrmann,1988-09-27,Germany,Goalkeeper,right,196
1043,Sergio,Escudero Palomo,1989-09-02,Spain,Defender,left,176
1044,Benedikt,H\u00f6wedes,1988-02-29,Germany,Defender,right,187
1045,Kyriakos,Papadopoulos,1992-02-23,Greece,Defender,right,185
1046,Julian,Draxler,1993-09-20,Germany,Midfielder,right,187
1047,Marco,H\u00f6ger,1989-09-16,Germany,Midfielder,right,182
1048,Lewis Harry,Holtby,1990-09-18,Germany,Midfielder,left,176
1049,Jos\u00e9 Manuel,Jurado Mar\u00edn,1986-06-29,Spain,Midfielder,right,174
1050,F\u00e1gner,Conserva Lemos,1989-06-11,Brazil,Defender,right,168
1051,Jefferson Agustin,Farf\u00e1n Guadalupe,1984-10-26,Peru,Forward,right,178
1052,Jaroslav,Drobn\u00fd,1979-10-18,Czech Republic,Goalkeeper,right,190
1053,Tom,Mickel,1989-04-19,Germany,Goalkeeper,right,184
1054,Dennis,Aogo,1987-01-14,Germany,Defender,left,184
1055,Jeffrey,Bruma,1991-11-13,Netherlands,Defender,right,190
1056,Dennis,Diekmeier,1989-10-20,Germany,Defender,right,188
1057,Gojko,Ka\u010dar,1987-01-26,Serbia,Midfielder,right,185
1058,Tom\u00e1s Eduardo,Rinc\u00f3n Hern\u00e1ndez,1988-01-13,Venezuela,Midfielder,right,177
1059,Jacopo,Sala,1991-12-05,Italy,Defender,right,181
1060,Per Ciljan,Skjelbred,1987-06-16,Norway,Midfielder,right,175
1061,Heung-Min,Son,1992-07-08,Korea Republic,Forward,right,183
1062,Diego,Benaglio,1983-09-08,Switzerland,Goalkeeper,right,194
1063,Marwin,Hitz,1987-09-18,Switzerland,Goalkeeper,right,193
1064,Robin,Knoche,1992-05-22,Germany,Defender,right,190
1065,Ricardo Iv\u00e1n,Rodr\u00edguez Araya,1992-08-25,Switzerland,Defender,left,180
1066,Marco,Russ,1985-08-04,Germany,Defender,right,190
1067,Makoto,Hasebe,1984-01-18,Japan,Midfielder,right,180
1068,Maximilian,Arnold,1994-05-27,Germany,Midfielder,left,184
1069,Adelino Andr\u00e9,Vieira Freitas,1986-01-24,Portugal,Midfielder,right,172
1070,Mario,Mand\u017euki\u0107,1986-01-14,Croatia,Forward,right,187
1071,Giovanni-Guy Yann,Sio,1989-03-31,France,Forward,left,180
1072,Damir,Ceter Valencia,1997-11-02,Colombia,Forward,right,187
1073,Keagan,Dolly,1993-01-22,South Africa,Forward,left,170
1074,Oliver,Baumann,1990-06-02,Germany,Goalkeeper,right,187
1075,Bongani,Zungu,1992-10-09,South Africa,Midfielder,right,184
1076,Oliver,Sorg,1990-05-29,Germany,Defender,right,175
1077,Daniel,Caligiuri,1988-01-15,Germany,Midfielder,right,182
1078,Fallou,Diagne,1989-08-14,Senegal,Defender,right,185
1079,Matthias,Ginter,1994-01-19,Germany,Defender,right,191
1080,Karim,Gu\u00e9d\u00e9,1985-01-07,Togo,Forward,right,184
1081,Martin,\u0160krtel,1984-12-15,Slovakia,Defender,right,191
1082,Jonathan,Schmid,1990-06-26,France,Midfielder,right,179
1083,Julian,Schuster,1985-04-15,Germany,Midfielder,right,189
1084,Ivan,Santini,1989-05-21,Croatia,Forward,right,190
1085,Marc-Andr\u00e9,ter Stegen,1992-04-30,Germany,Goalkeeper,right,187
1086,Dante Bonfim,da Costa Santos,1983-10-18,Brazil,Defender,left,188
1087,H\u00e5vard,Nordtveit,1990-06-21,Norway,Midfielder,right,188
1088,Oscar,Wendt,1985-10-24,Sweden,Defender,left,181
1089,Matthias,Zimmermann,1992-06-16,Germany,Midfielder,right,177
1090,Tony,Jantschke,1990-04-07,Germany,Defender,right,177
1091,Mathew,Leckie,1991-02-04,Australia,Forward,right,181
1092,Roman Petrovich,Neust\u00e4dter,1988-02-18,Russia,Defender,right,188
1093,Marco,Reus,1989-05-31,Germany,Forward,right,180
1094,Ron-Robert,Zieler,1989-02-12,Germany,Goalkeeper,right,188
1095,Konstantin,Rausch,1990-03-15,Russia,Defender,left,182
1096,Manuel,Schmiedebach,1988-12-05,Germany,Midfielder,right,171
1097,Lars,Stindl,1988-08-26,Germany,Forward,right,181
1098,Mame Biram,Diouf,1987-12-16,Senegal,Forward,right,185
1099,Tobias,Sippel,1988-03-22,Germany,Goalkeeper,right,183
1100,Kevin,Trapp,1990-07-08,Germany,Goalkeeper,right,189
1101,Lucas,Tousart,1997-04-29,France,Midfielder,right,185
1102,Renato Fabrizio,Tapia Cortijo,1995-07-28,Peru,Midfielder,right,182
1103,Willi,Orban,1992-11-03,Germany,Defender,right,186
1104,Olcay,\u015eahan,1987-05-26,Germany,Midfielder,right,179
1105,Nicolai,J\u00f8rgensen,1991-01-15,Denmark,Forward,right,190
1106,Sandro,Wagner,1987-11-29,Germany,Forward,right,194
1107,Thomas,Kraft,1988-07-22,Germany,Goalkeeper,right,187
1108,Christoph,Janker,1985-02-14,Germany,Defender,right,185
1109,Fabian,Lustenberger,1988-05-02,Switzerland,Defender,right,180
1110,Raffael,Caetano de Ara\u00fajo,1985-03-28,Brazil,Forward,right,174
1111,Dominik,Maroh,1987-03-04,Germany,Defender,right,186
1112,Marvin,Plattenhardt,1992-01-26,Germany,Defender,left,181
1113,Philipp,Wollscheid,1989-03-06,Germany,Defender,right,194
1114,Daniel,Didavi,1990-02-21,Germany,Midfielder,left,180
1115,Mike,Frantz,1986-10-14,Germany,Midfielder,right,182
