id,firstname,lastname,birthdate,country
600,César,Soto Grado,1980-06-17,Spain
601,Alberto,González Hernández,1988-07-14,Spain
602,Mario,Díaz Ortiz,"""""",Spain
603,Riccardo,Pinzani,1978-04-21,Italy
604,Mark,Clattenburg,1975-03-13,England
605,Andrea,Chiocchi,"""""",Italy
606,Sergio,Escriche Guzmán,1989-03-07,Spain
607,Mick,McDonough,"""""",England
608,Víctor,Rives Leal,1983-04-21,Spain
609,Manuel Ángel,Torre Cimiano,"""""",Spain
610,Bertrand,Jouannaud,"""""",France
611,Elenito,Di Liberatore,"""""",Italy
612,Jaime,Ruiz Álvarez,1987-02-22,Spain
613,Bibiana,Steinhaus,1979-03-24,Germany
614,Christian,Rossi,"""""",Italy
615,Frank,Andås,1975-09-26,Norway
616,Mike,Mullarkey,1970-05-03,England
617,Antonio,Di Martino,1987-12-22,Italy
618,Iván,Hernández Ramos,"""""",Spain
619,Gianluca,Manganiello,1981-11-28,Italy
620,Tomáš,Mokrusch,"""""",Czech Republic
621,Luigi,Lanotte,"""""",Italy
622,Andy,Halliday,"""""",England
623,César Arturo,Ramos Palazuelos,1983-12-15,Mexico
624,Gwenaël,Pasqualotti,"""""",France
625,Guillaume,Debart,"""""",France
